,ヘッダ,latitude,longitude
0,兵庫県神戸市灘区篠原本町 4-3-1,34.720022,135.2264577
1,東京都港区六本木 7-8-4,35.6651999,139.7295315
2,東京都港区赤坂 6-4-21,35.67073,139.734992
3,福岡県北九州市小倉北区神岳1-1-12,33.8727382,130.8903182
4,沖縄県那覇市首里石嶺町 4-301-6,26.2351148,127.7300069
5,沖縄県那覇市辻 2-6-19,26.2169979,127.6714126
6,京都府京都市下京区東高瀬川筋上ノ口上る岩滝町176-1,34.993083,135.765778
7,広島県広島市南区南大河町 18-10,34.3709662,132.4848377
8,山口県下関市竹崎町 3-13-6,33.9518921,130.9213914
9,鹿児島県鹿児島市甲突町 9-1,31.5810332,130.5582189
10,岡山県笠岡市笠岡 615-11,34.5006165,133.5093465
11,福岡県久留米市京町 247-6,33.3189308,130.4992328
12,香川県高松市塩上町 2-14-4,34.337926,134.056009
13,千葉県市原市潤井戸1343-8,35.522761,140.167519
14,広島県尾道市山波町 3025-1,34.425889,133.229194
15,福岡県田川市大字弓削田 1314-1,33.633514,130.78428
16,大阪府大阪市西成区太子1-3-17,34.6484651,135.5037524
17,東京都豊島区西池袋 1-29-5,35.7322141,139.7110941
18,大阪府大阪市西成区山王1-11-8,34.6470736,135.5064078
19,東京都台東区西浅草 2-9-8,35.7128685,139.790267
20,福岡県福岡市博多区千代 5-18-15,33.6085946,130.4119253
21,福岡県大牟田市上官町 2-4-2,33.0251767,130.4518459
